Don't Start Now;Dua Lipa
Just A Kiss;Lady Antebellum
Where Them Girls At;David Guetta Featuring Flo Rida & Nicki Minaj
Fast Lane;Bad Meets Evil
Go Your Own Way;Glee Cast
Better With The Lights Off;New Boyz Featuring Chris Brown
Songbird;Glee Cast
Not Ready To Die;Avenged Sevenfold
I'm Into You;Jennifer Lopez Featuring Lil Wayne
Don't Stop;Glee Cast
Never Going Back Again;Glee Cast
Danza Kuduro;Don Omar & Lucenzo
Am I The Only One;Dierks Bentley
Dreams;Glee Cast Featuring Kristin Chenoweth
Closer To The Edge;Thirty Seconds To Mars
I Feel Pretty / Unpretty;Glee Cast
Somewhere Only We Know;Glee Cast
Born This Way;Glee Cast
Time After Time;Javier Colon
As If We Never Said Goodbye;Glee Cast
Barbra Streisand;Duck Sauce
Pumped Up Kicks;Foster The People
Super Bass;Nicki Minaj
Whiskey;Jana Kramer
Never Gonna Leave This Bed;Maroon 5
Country Girl (Shake It For Me);Luke Bryan
Run The World (Girls);Beyonce
Turning Tables;Adele
Turning Tables;Glee Cast Featuring Gwyneth Paltrow
All By Myself;Glee Cast
Breakthrough;Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko
Somebody;Bridgit Mendler
Papi;Jennifer Lopez
Judas;Lady Gaga
Motivation;Kelly Rowland Featuring Lil Wayne
Red Nation;Game Featuring Lil Wayne
She Ain't You;Chris Brown
Tonight Tonight;Hot Chelle Rae
Determinate;Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko
Barefoot Blue Jean Night;Jake Owen
Honey Bee;Blake Shelton
Dirt Road Anthem;Jason Aldean
Hustle Hard;Ace Hood
Hello;Martin Solveig & Dragonette
Old Alabama;Brad Paisley Featuring Alabama
Somewhere Else;Toby Keith
When I'm Gone;Wiz Khalifa
Give Me Everything;Pitbull Featuring Ne-Yo, Afrojack & Nayer
The Story;Sara Ramirez
I Wanna Go;Britney Spears
Beggin' On Your Knees;Victorious Cast Featuring Victoria Justice
Racks;YC Featuring Future
No Sleep;Wiz Khalifa
Next To You;Chris Brown Featuring Justin Bieber
Best Love Song;T-Pain Featuring Chris Brown
John;Lil Wayne Featuring Rick Ross
If Heaven Wasn't So Far Away;Justin Moore
Family Man;Craig Campbell
Georgia Clay;Josh Kelley
F**k Him He's A DJ;Ke$ha
Loser Like Me;Glee Cast
Get It Right;Glee Cast
Who Says;Selena Gomez & The Scene
Raise Your Glass;Glee Cast
Blackbird;Glee Cast
Misery;Glee Cast
Hell To The No;Glee Cast
Candles;Glee Cast
Friday;Rebecca Black
Bring It Back;Travis Porter
Far Away;Marsha Ambrosius
Grove St. Party;Waka Flocka Flame Featuring Kebo Gotti
Arms;Christina Perri
Dancing Crazy;Miranda Cosgrove
Landslide;Glee Cast Featuring Gwyneth Paltrow
Do You Wanna Touch Me (Oh Yeah);Glee Cast Featuring Gwyneth Paltrow
Crazy Girl;Eli Young Band
Animal;Glee Cast
The Race;Wiz Khalifa
Beautiful Lasers (2 Ways);Lupe Fiasco Featuring MDMA
Country Song;Seether
Boom;Snoop Dogg Featuring T-Pain
Kiss;Glee Cast
Homeboy;Eric Church
Live A Little;Kenny Chesney
Sure Thing;Miguel
Without You;Keith Urban
Where You At;Jennifer Hudson
I Can't Love You Back;Easton Corbin
Wish You Were Here;Avril Lavigne
Till The World Ends;Britney Spears Featuring Nicki Minaj & Ke$ha
Rope;Foo Fighters
Twisted;Gorilla Zoe Featuring Lil Jon
You Lie;The Band Perry
What Are Words;Chris Medina
My Last;Big Sean Featuring Chris Brown
Did It On'em;Nicki Minaj
Walking;Mary Mary
21st Century Girl;WILLOW
On The Floor;Jennifer Lopez Featuring Pitbull
Don't You Want Me;Glee Cast
On My Level;Wiz Khalifa Featuring Too $hort
Blame It (On The Alcohol);Glee Cast
Tik Tok;Glee Cast
Someone Like You;Adele
Boyfriend;Big Time Rush
Bow Chicka Wow Wow;Mike Posner Featuring Lil Wayne
Set Fire To The Rain;Adele
Welcome To My Hood;DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain
I Smile;Kirk Franklin
The Shape I'm In;Joe Nichols
Country Boy;Aaron Lewis Featuring George Jones & Charlie Daniels
Backseat;New Boyz Featuring The Cataracs & Dev
Baby;Glee Cast
Sing;Glee Cast
Take Me Or Leave Me;Glee Cast
Somebody To Love;Glee Cast
Born To Be Somebody;Justin Bieber
Tomorrow;Chris Young
Written In The Stars;Tinie Tempah Featuring Eric Turner
Just Can't Get Enough;The Black Eyed Peas
Born This Way;Lady Gaga
Hit The Lights;Jay Sean Featuring Lil Wayne
I Do;Colbie Caillat
Firework;Glee Cast
Silly Love Songs;Glee Cast
When I Get You Alone;Glee Cast
Roll Up;Wiz Khalifa
Fat Bottomed Girls;Glee Cast
P.Y.T. (Pretty Young Thing);Glee Cast
I Won't Give Up;Jana Kramer
She's Not There;Glee Cast
Words I Never Said;Lupe Fiasco Featuring Skylar Grey
Pray;Justin Bieber
Sing;My Chemical Romance
Heart Like Mine;Miranda Lambert
Bleed Red;Ronnie Dunn
I Need A Doctor;Dr. Dre Featuring Eminem & Skylar Grey
Look At Me Now;Chris Brown Featuring Lil Wayne & Busta Rhymes
Need You Now;Glee Cast
Thriller / Heads Will Roll;Glee Cast
Bills, Bills, Bills;Glee Cast
When You're Young;3 Doors Down
The Creep;The Lonely Island Featuring Nicki Minaj
Price Tag;Jessie J Featuring B.o.B
The Ballad Of Mona Lisa;Panic! At The Disco
The Cave;Mumford & Sons
Party Rock Anthem;LMFAO Featuring Lauren Bennett & GoonRock
Help Is On The Way;Rise Against
Boyfriend;New Hollow
Love Faces;Trey Songz
Colder Weather;Zac Brown Band
Stay The Night;James Blunt
For You, And Your Denial;Yellowcard
Hold It Against Me;Britney Spears
What The Hell;Avril Lavigne
H*A*M;Kanye West Jay Z
Shake Me Down;Cage The Elephant
Give In To Me;Garrett Hedlund & Leighton Meester
Buzzin';Mann
Wildflower;The JaneDear Girls
Country Strong;Gwyneth Paltrow
From A Table Away;Sunny Sweeney
Make It Rain;Travis Porter
Big Night;Big Time Rush
A Little Bit Stronger;Sara Evans
I Just Had Sex;The Lonely Island Featuring Akon
This Is Country Music;Brad Paisley
Hit It Again;3OH!3
Do The John Wall;Troop 41
I Am The Champion;B.o.B
Shake Up Christmas;Train
6 Foot 7 Foot;Lil Wayne Featuring Cory Gunz
Higher;Taio Cruz Featuring Travie McCoy
Moment 4 Life;Nicki Minaj Featuring Drake
F**kin' Perfect;P!nk
What Do You Want;Jerrod Niemann
Are You Gonna Kiss Me Or Not;Thompson Square
When A Woman Loves;R. Kelly
You Be Killin Em;Fabolous
For The First Time;The Script
Oh Santa!;Mariah Carey
That's All She Wrote;T.I. Featuring Eminem
Baby, It's Cold Outside;Glee Cast
Welcome Christmas;Glee Cast
Rolling In The Deep;Adele
No BS;Chris Brown
Bass Down Low;Dev Featuring The Cataracs
Fall For Your Type;Jamie Foxx Featuring Drake
Dog Days Are Over;Glee Cast
Christmas Lights;Coldplay
Hey, Soul Sister;Glee Cast
(I've Had) The Time Of My Life;Glee Cast
Valerie;Glee Cast
Who Dat Girl;Flo Rida Featuring Akon
Freak The Freak Out;Victorious Cast Featuring Victoria Justice
Boots;The Killers
Fire Flame;Birdman Featuring Lil Wayne
Rocketeer;Far*East Movement Featuring Ryan Tedder
Don't Cry For Me Argentina (Lea Michele Version);Glee Cast
Tonight (I'm Lovin' You);Enrique Iglesias Featuring Ludacris & DJ Frank E
Marry You;Glee Cast
Just The Way You Are;Glee Cast
Dark Fantasy;Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver
Coming Home;Diddy - Dirty Money Featuring Skylar Grey
Show Me How You Burlesque;Christina Aguilera
Pretty Girl Rock;Keri Hilson
Who's That Chick?;David Guetta Featuring Rihanna
Fly;Nicki Minaj Featuring Rihanna
Marry You;Bruno Mars
All Of The Lights;Kanye West
Crazy Beautiful Life;Ke$ha
Let Me Down Easy;Billy Currington
Maybe;Sick Puppies
Forget You;Glee Cast Featuring Gwyneth Paltrow
Singing In The Rain / Umbrella;Glee Cast Featuring Gwyneth Paltrow
Kush;Dr. Dre Featuring Snoop Dogg & Akon
S&M;Rihanna Featuring Britney Spears
Liv Tonight;Nelly Featuring Keri Hilson
Hold My Hand;Michael Jackson Duet With Akon
Marry Me;Train
Blow;Ke$ha
Turn Around (5 4 3 2 1);Flo Rida
Teenage Dream;Glee Cast
The Time (Dirty Bit);The Black Eyed Peas
Start Me Up / Livin' On A Prayer;Glee Cast
Stop! In The Name Of Love / Free Your Mind;Glee Cast
One Love (People Get Ready);Glee Cast
Marijuana;Kid Cudi
The Show Goes On;Lupe Fiasco
Down On Me;Jeremih Featuring 50 Cent
Hello World;Lady Antebellum
What If;Jason Derulo
Cannibal;Ke$ha
Scott Mescudi Vs. The World;Kid Cudi Featuring Cee-Lo
Make A Movie;Twista Featuring Chris Brown
Felt Good On My Lips;Tim McGraw
Sleazy Remix 2.0 Get Sleazier;Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000
Roman's Revenge;Nicki Minaj Featuring Eminem
Bon, Bon;Pitbull
Somewhere With You;Kenny Chesney
Get Back Up;T.I. Featuring Chris Brown
Lo Mejor De Mi Vida Eres Tu;Ricky Martin Featuring Natalia Jimenez
Sick;New Hollow
Voices;Chris Young
Don't You Wanna Stay;Jason Aldean With Kelly Clarkson
Bullets In The Gun;Toby Keith
The Big Bang;ROCKMAFIA
Who Are You When I'm Not Looking;Blake Shelton

